modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,0,doppler,doppler_p5_v30_f3500MHz,perfect,1.2797523809523808e-06
4,5,0,doppler,doppler_p5_v30_f3500MHz,fft,1.2796952380952384e-06
4,5,0,doppler,doppler_p5_v30_f3500MHz,cubic,1.2800142857142858e-06
4,5,0,doppler,doppler_p5_v120_f700MHz,perfect,1.266233333333333e-06
4,5,0,doppler,doppler_p5_v120_f700MHz,fft,1.2662428571428574e-06
4,5,0,doppler,doppler_p5_v120_f700MHz,cubic,1.2663999999999999e-06
4,5,0,doppler,doppler_p5_v120_f3500MHz,perfect,1.2705357142857143e-06
4,5,0,doppler,doppler_p5_v120_f3500MHz,fft,1.2704999999999997e-06
4,5,0,doppler,doppler_p5_v120_f3500MHz,cubic,1.2709904761904763e-06
4,5,0,doppler,doppler_p40_v30_f700MHz,perfect,1.2830238095238093e-06
4,5,0,doppler,doppler_p40_v30_f700MHz,fft,1.282992857142857e-06
4,5,0,doppler,doppler_p40_v30_f700MHz,cubic,1.2830404761904762e-06
4,5,0,doppler,doppler_p40_v30_f3500MHz,perfect,1.2941023809523812e-06
4,5,0,doppler,doppler_p40_v30_f3500MHz,fft,1.2940476190476192e-06
4,5,0,doppler,doppler_p40_v30_f3500MHz,cubic,1.2940714285714285e-06
4,5,0,doppler,doppler_p40_v120_f700MHz,perfect,1.2873214285714285e-06
4,5,0,doppler,doppler_p40_v120_f700MHz,fft,1.2873142857142857e-06
4,5,0,doppler,doppler_p40_v120_f700MHz,cubic,1.2873095238095239e-06
4,5,0,doppler,doppler_p40_v120_f3500MHz,perfect,1.2843261904761906e-06
4,5,0,doppler,doppler_p40_v120_f3500MHz,fft,1.2843214285714285e-06
4,5,0,doppler,doppler_p40_v120_f3500MHz,cubic,1.2847238095238094e-06
4,5,1,awgn,awgn,perfect,8.969071428571429e-07
4,5,1,awgn,awgn,fft,8.969071428571429e-07
4,5,1,awgn,awgn,cubic,8.969071428571429e-07
4,5,1,rayleigh,rayleigh,perfect,1.171647619047619e-06
4,5,1,rayleigh,rayleigh,fft,2.499595238095238e-06
4,5,1,rayleigh,rayleigh,cubic,2.499471428571429e-06
4,5,1,doppler,doppler_p5_v30_f700MHz,perfect,1.160711904761905e-06
4,5,1,doppler,doppler_p5_v30_f700MHz,fft,1.1606880952380951e-06
4,5,1,doppler,doppler_p5_v30_f700MHz,cubic,1.1607761904761903e-06
4,5,1,doppler,doppler_p5_v30_f3500MHz,perfect,1.142597619047619e-06
4,5,1,doppler,doppler_p5_v30_f3500MHz,fft,1.1426714285714283e-06
4,5,1,doppler,doppler_p5_v30_f3500MHz,cubic,1.1424142857142856e-06
4,5,1,doppler,doppler_p5_v120_f700MHz,perfect,1.1672190476190477e-06
4,5,1,doppler,doppler_p5_v120_f700MHz,fft,1.1672142857142856e-06
4,5,1,doppler,doppler_p5_v120_f700MHz,cubic,1.167154761904762e-06
4,5,1,doppler,doppler_p5_v120_f3500MHz,perfect,1.1468166666666667e-06
4,5,1,doppler,doppler_p5_v120_f3500MHz,fft,1.1467738095238093e-06
4,5,1,doppler,doppler_p5_v120_f3500MHz,cubic,1.1474880952380952e-06
4,5,1,doppler,doppler_p40_v30_f700MHz,perfect,1.1405357142857145e-06
4,5,1,doppler,doppler_p40_v30_f700MHz,fft,1.1405309523809524e-06
4,5,1,doppler,doppler_p40_v30_f700MHz,cubic,1.140554761904762e-06
4,5,1,doppler,doppler_p40_v30_f3500MHz,perfect,1.1618214285714286e-06
4,5,1,doppler,doppler_p40_v30_f3500MHz,fft,1.1618023809523812e-06
4,5,1,doppler,doppler_p40_v30_f3500MHz,cubic,1.161938095238095e-06
4,5,1,doppler,doppler_p40_v120_f700MHz,perfect,1.2096690476190478e-06
4,5,1,doppler,doppler_p40_v120_f700MHz,fft,1.2096785714285715e-06
4,5,1,doppler,doppler_p40_v120_f700MHz,cubic,1.2095571428571425e-06
4,5,1,doppler,doppler_p40_v120_f3500MHz,perfect,1.1688761904761905e-06
4,5,1,doppler,doppler_p40_v120_f3500MHz,fft,1.168945238095238e-06
4,5,1,doppler,doppler_p40_v120_f3500MHz,cubic,1.1688380952380954e-06
4,5,2,awgn,awgn,perfect,7.277738095238094e-07
4,5,2,awgn,awgn,fft,7.277738095238094e-07
4,5,2,awgn,awgn,cubic,7.277738095238094e-07
4,5,2,rayleigh,rayleigh,perfect,1.0467880952380954e-06
4,5,2,rayleigh,rayleigh,fft,2.502395238095239e-06
4,5,2,rayleigh,rayleigh,cubic,2.50082380952381e-06
4,5,2,doppler,doppler_p5_v30_f700MHz,perfect,1.0110738095238093e-06
4,5,2,doppler,doppler_p5_v30_f700MHz,fft,1.0110452380952382e-06
4,5,2,doppler,doppler_p5_v30_f700MHz,cubic,1.0110714285714286e-06
4,5,2,doppler,doppler_p5_v30_f3500MHz,perfect,1.0255738095238096e-06
