modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,17,doppler,doppler_p10_v50_f700MHz,cubic,0.01004
4,5,17,doppler,doppler_p10_v50_f3500MHz,perfect,0.01305
4,5,17,doppler,doppler_p10_v50_f3500MHz,cubic,0.013
4,5,18,doppler,doppler_p10_v50_f700MHz,perfect,0.00842
4,5,18,doppler,doppler_p10_v50_f700MHz,cubic,0.00834
4,5,18,doppler,doppler_p10_v50_f3500MHz,perfect,0.00848
4,5,18,doppler,doppler_p10_v50_f3500MHz,cubic,0.00846
4,5,19,doppler,doppler_p10_v50_f700MHz,perfect,0.00837
4,5,19,doppler,doppler_p10_v50_f700MHz,cubic,0.00848
4,5,19,doppler,doppler_p10_v50_f3500MHz,perfect,0.00805
4,5,19,doppler,doppler_p10_v50_f3500MHz,cubic,0.00783
4,5,20,doppler,doppler_p10_v50_f700MHz,perfect,0.00566
4,5,20,doppler,doppler_p10_v50_f700MHz,cubic,0.00571
4,5,20,doppler,doppler_p10_v50_f3500MHz,perfect,0.00461
4,5,20,doppler,doppler_p10_v50_f3500MHz,cubic,0.00465
4,5,21,doppler,doppler_p10_v50_f700MHz,perfect,0.00551
4,5,21,doppler,doppler_p10_v50_f700MHz,cubic,0.00557
4,5,21,doppler,doppler_p10_v50_f3500MHz,perfect,0.0048
4,5,21,doppler,doppler_p10_v50_f3500MHz,cubic,0.00486
4,5,22,doppler,doppler_p10_v50_f700MHz,perfect,0.00459
4,5,22,doppler,doppler_p10_v50_f700MHz,cubic,0.00461
4,5,22,doppler,doppler_p10_v50_f3500MHz,perfect,0.00574
4,5,22,doppler,doppler_p10_v50_f3500MHz,cubic,0.00577
4,5,23,doppler,doppler_p10_v50_f700MHz,perfect,0.00497
4,5,23,doppler,doppler_p10_v50_f700MHz,cubic,0.00495
4,5,23,doppler,doppler_p10_v50_f3500MHz,perfect,0.00248
4,5,23,doppler,doppler_p10_v50_f3500MHz,cubic,0.00253
4,5,24,doppler,doppler_p10_v50_f700MHz,perfect,0.0019
4,5,24,doppler,doppler_p10_v50_f700MHz,cubic,0.0019
4,5,24,doppler,doppler_p10_v50_f3500MHz,perfect,0.00313
4,5,24,doppler,doppler_p10_v50_f3500MHz,cubic,0.00316
4,5,25,doppler,doppler_p10_v50_f700MHz,perfect,0.00361
4,5,25,doppler,doppler_p10_v50_f700MHz,cubic,0.00365
4,5,25,doppler,doppler_p10_v50_f3500MHz,perfect,0.0016
4,5,25,doppler,doppler_p10_v50_f3500MHz,cubic,0.00147
4,5,26,doppler,doppler_p10_v50_f700MHz,perfect,0.00156
4,5,26,doppler,doppler_p10_v50_f700MHz,cubic,0.00158
4,5,26,doppler,doppler_p10_v50_f3500MHz,perfect,0.00169
4,5,26,doppler,doppler_p10_v50_f3500MHz,cubic,0.00179
4,5,27,doppler,doppler_p10_v50_f700MHz,perfect,0.00145
4,5,27,doppler,doppler_p10_v50_f700MHz,cubic,0.00147
4,5,27,doppler,doppler_p10_v50_f3500MHz,perfect,0.00114
4,5,27,doppler,doppler_p10_v50_f3500MHz,cubic,0.00113
4,5,28,doppler,doppler_p10_v50_f700MHz,perfect,0.00094
4,5,28,doppler,doppler_p10_v50_f700MHz,cubic,0.00095
4,5,28,doppler,doppler_p10_v50_f3500MHz,perfect,0.00095
4,5,28,doppler,doppler_p10_v50_f3500MHz,cubic,0.00098
4,5,29,doppler,doppler_p10_v50_f700MHz,perfect,0.00053
4,5,29,doppler,doppler_p10_v50_f700MHz,cubic,0.0005
4,5,29,doppler,doppler_p10_v50_f3500MHz,perfect,0.00063
4,5,29,doppler,doppler_p10_v50_f3500MHz,cubic,0.00068
4,5,30,doppler,doppler_p10_v50_f700MHz,perfect,0.00086
4,5,30,doppler,doppler_p10_v50_f700MHz,cubic,0.00085
4,5,30,doppler,doppler_p10_v50_f3500MHz,perfect,0.00097
4,5,30,doppler,doppler_p10_v50_f3500MHz,cubic,0.00096
4,10,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.32618
4,10,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.32643
4,10,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.31624
4,10,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.31609
4,10,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.30027
4,10,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.30021
4,10,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.2889
4,10,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.28914
4,10,0,doppler,doppler_p10_v50_f700MHz,perfect,0.27303
4,10,0,doppler,doppler_p10_v50_f700MHz,cubic,0.27308
4,10,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.28042
4,10,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.28016
4,10,1,doppler,doppler_p10_v50_f700MHz,perfect,0.23429
4,10,1,doppler,doppler_p10_v50_f700MHz,cubic,0.23418
4,10,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.23376
4,10,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.23391
4,10,2,doppler,doppler_p10_v50_f700MHz,perfect,0.21669
4,10,2,doppler,doppler_p10_v50_f700MHz,cubic,0.21662
4,10,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.22103
4,10,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.22111
4,10,3,doppler,doppler_p10_v50_f700MHz,perfect,0.15824
4,10,3,doppler,doppler_p10_v50_f700MHz,cubic,0.15834
4,10,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.18266
4,10,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.18238
4,10,4,doppler,doppler_p10_v50_f700MHz,perfect,0.16075
4,10,4,doppler,doppler_p10_v50_f700MHz,cubic,0.16069
4,10,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.16773
4,10,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.16753
4,10,5,doppler,doppler_p10_v50_f700MHz,perfect,0.14174
4,10,5,doppler,doppler_p10_v50_f700MHz,cubic,0.14175
4,10,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.14721
4,10,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.14733
4,10,6,doppler,doppler_p10_v50_f700MHz,perfect,0.12534
4,10,6,doppler,doppler_p10_v50_f700MHz,cubic,0.12526
4,10,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.10824
4,10,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.10813
4,10,7,doppler,doppler_p10_v50_f700MHz,perfect,0.09581
4,10,7,doppler,doppler_p10_v50_f700MHz,cubic,0.09572
4,10,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.1014
4,10,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.10122
4,10,8,doppler,doppler_p10_v50_f700MHz,perfect,0.07185
4,10,8,doppler,doppler_p10_v50_f700MHz,cubic,0.07184
